study_id,first_author,authors,year,title,source,type,doi,link_url,dbase
Chen_Chen_Liu_etal_2000,Chen,"Chen, J. M.; Chen, W.; Liu, J.; Cihlar, J.; Ou, Y.; Pavlic, G.; Price, D. T.; Amiro, B. D.; Frofymow, T.; Black, T. A.; McCaughey, H.",2000,"Spatial Distribution of Carbon Sinks and Sources in Canada's Forests Based on Remote Sensing, Climate, Inventory and Tower Flux Data",NA,book-chapter,NA,https://ostrnrcan-dostrncan.canada.ca/entities/publication/5d443bec-be49-439e-ad82-bea8a732e21a,NRCan OSTR
Krcmar-nozic_Wilson_Arthur_2000,Krcmar-nozic,"Krcmar-nozic, E.; Wilson, W. R.; Arthur, L.",2000,The potential impacts of exotic forest pests in North America: a synthesis of research.,NA,report,NA,https://ostrnrcan-dostrncan.canada.ca/entities/publication/925dad8d-7396-471e-aab4-3062227a713d,NRCan OSTR
Chen_Chen_Cihlar_etal_2000,Chen,"Chen, W.; Chen, J. M.; Cihlar, J.; Liu, J.; Price, D. T.",2000,An Integrated Analysis of Canada's National Forest Carbon Budget and Its Carbon Management Implication,NA,book-chapter,NA,https://ostrnrcan-dostrncan.canada.ca/entities/publication/1ccff2e8-55a0-4447-b5d8-407e7b0d3637,NRCan OSTR
Liu_Chen_Cihlar_etal_1999,Liu,"Liu, J.; Chen, J. M.; Cihlar, J.; Chen, W.",1999,Net Primary Productivity Distribution in the BOREAS Study Region from a Process Model Driven by Satellite and Surface Data,Journal of Geophysical Research: Atmospheres,article,https://doi.org/10.1029/1999jd900768,https://ostrnrcan-dostrncan.canada.ca/entities/publication/f8530cf8-1d5f-4bf8-9405-c443f3d22a2c,NRCan OSTR
Trofymow_Porter_Blackwell_etal_1998,Trofymow,"Trofymow, J. A.; Porter, G. L.; Blackwell, B. A.; Arksey, R.; Marshall, V. G.; Pollard, D. F. W.",1998,Chronosequences for research into the effects of converting coastal British Columbia old-growth forests to managed forests: an establishment report,NA,report,NA,https://ostrnrcan-dostrncan.canada.ca/entities/publication/08e9fede-6b65-4fa2-96e5-0c7748294333,NRCan OSTR
Chen_Liu_Chen_etal_1998,Chen,"Chen, J. M.; Liu, J.; Chen, W.; Cihlar, J.",1998,Forming a Baseline for Estimating Forest Carbon Sink,NA,book-chapter,NA,https://ostrnrcan-dostrncan.canada.ca/entities/publication/52525fd6-d480-4e09-8884-e40c95dc0c66,NRCan OSTR
Franklin_Lavigne_Deuling_etal_1997,Franklin,"Franklin, S. E.; Lavigne, M. B.; Deuling, M. J.; Wulder, M.; Hunt, E. R.",1997,Estimation of forest Leaf Area Index using remote sensing and GIS data for modelling net primary production,International Journal of Remote Sensing,article,https://doi.org/10.1080/014311697216973,https://ostrnrcan-dostrncan.canada.ca/entities/publication/123a6f08-85c6-419c-b1a4-0b8c55a2d1c9,NRCan OSTR
Oleskevich_Shamoun_Zamir_1996,Oleskevich,"Oleskevich, C.; Shamoun, S. F.; Zamir, K. P.",1996,"The biology of Canadian weeds. 105. Rubus strigosus Michx., Rubus parviflorus Nutt., and Rubus spectabilis Pursh.",NA,article,NA,https://ostrnrcan-dostrncan.canada.ca/entities/publication/09d3ccf6-d4cc-4de2-8ca6-92282d912024,NRCan OSTR
Leckie_Yatabe_1995,Leckie,"Leckie, D. G.; Yatabe, S. M.",1995,Discriminating forest cuts with ERS-1 radar imagery,NA,conference-material,NA,https://ostrnrcan-dostrncan.canada.ca/entities/publication/86e75711-0426-4a10-a181-d73ef288186a,NRCan OSTR
Lee_1992,Lee,"Lee, Y. J.",1992,Digital image analysis techniques on an IBM microcomputer for measuring soil disturbance following timber harvesting,NA,conference-material,NA,https://ostrnrcan-dostrncan.canada.ca/entities/publication/0dd68749-bd67-4c04-9840-039685511a15,NRCan OSTR
Pomerleau_1991,Pomerleau,"Pomerleau, R.",1991,Expériences sur les mécanismes du dépérissement des forêts de feuillus au Québec,NA,report,NA,https://ostrnrcan-dostrncan.canada.ca/entities/publication/2521591e-5f1d-49ae-ba36-fc00a0e95fa4,NRCan OSTR
Kalra_Maynard_1991,Kalra,"Kalra, Y. P.; Maynard, D. G.",1991,Methods manual for forest soil and plant analysis,NA,report,NA,https://ostrnrcan-dostrncan.canada.ca/entities/publication/0b64457d-0cec-4a00-9193-39cde6d32eb6,NRCan OSTR
Maynard_1990,Maynard,"Maynard, D. G.",1990,Biomonitoring forests near two sour gas processing plants,NA,report,NA,https://ostrnrcan-dostrncan.canada.ca/entities/publication/1404eff5-d34d-4cdb-bef0-b223da831afb,NRCan OSTR
Boutin_Robitaille_1989,Boutin,"Boutin, R.; Robitaille, G.",1989,Effects of in vitro acidification of a podzol on the chemistry of percolates and horizons,NA,report,NA,https://ostrnrcan-dostrncan.canada.ca/entities/publication/0485f757-6367-414d-ac8d-e768552353d8,NRCan OSTR
Cihlar_McQuillan_1978,Cihlar,"Cihlar, J.; McQuillan, A.",1978,Applications of Satellite Thermal Infrared Measurements to Earth's Resources Studies,Canadian Journal of Remote Sensing,article,https://doi.org/10.1080/07038992.1978.10854963,https://ostrnrcan-dostrncan.canada.ca/entities/publication/2ce4d744-d844-497d-a96a-82056a62b80d,NRCan OSTR
Heginbottom_Kurfurst_1977,Heginbottom,"Heginbottom, J. A.; Kurfurst, P. J.",1977,Local variability of ground ice occurrence at selected sites in the Mackenzie valley,NA,report,https://doi.org/10.4095/129276,https://ostrnrcan-dostrncan.canada.ca/entities/publication/17a517cc-8c6b-448b-b48a-ba6010a2eb1d,NRCan OSTR
